"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 29 15:23:33 PDT 2020","Mon Jun 29 15:23:34 PDT 2020","771","","","","","","Salesforce",""
"passed","Mon Jun 29 15:23:41 PDT 2020","Mon Jun 29 15:23:43 PDT 2020","1863","","","","","","Cisco Spark",""
"passed","Mon Jun 29 15:23:35 PDT 2020","Mon Jun 29 15:23:36 PDT 2020","789","","","","","","Dropbox",""
"passed","Mon Jun 29 15:22:41 PDT 2020","Mon Jun 29 15:23:01 PDT 2020","19540","","","","","","Free Trial",""
"passed","Mon Jun 29 15:23:36 PDT 2020","Mon Jun 29 15:23:37 PDT 2020","1405","","","","","","Exchange",""
"passed","Mon Jun 29 15:23:31 PDT 2020","Mon Jun 29 15:23:31 PDT 2020","952","","","","","","All Cloud Apps",""
"passed","Mon Jun 29 15:23:37 PDT 2020","Mon Jun 29 15:23:38 PDT 2020","936","","","","","","Amazon (AWS)",""
"passed","Mon Jun 29 15:23:40 PDT 2020","Mon Jun 29 15:23:41 PDT 2020","1683","","","","","","JIRA/Confluence",""
"passed","Mon Jun 29 15:23:32 PDT 2020","Mon Jun 29 15:23:33 PDT 2020","654","","","","","","G Suite",""
"passed","Mon Jun 29 15:23:30 PDT 2020","Mon Jun 29 15:23:31 PDT 2020","972","","","","","","CASB Magic Quadrant",""
"passed","Mon Jun 29 15:23:28 PDT 2020","Mon Jun 29 15:23:30 PDT 2020","1090","","","","","","What is CASB Architecture",""
"passed","Mon Jun 29 15:23:27 PDT 2020","Mon Jun 29 15:23:28 PDT 2020","832","","","","","","What is SASE",""
"passed","Mon Jun 29 15:23:26 PDT 2020","Mon Jun 29 15:23:27 PDT 2020","1167","","","","","","Request a Demo",""
"passed","Mon Jun 29 15:23:31 PDT 2020","Mon Jun 29 15:23:32 PDT 2020","1000","","","","","","Office 365",""
"passed","Mon Jun 29 15:23:16 PDT 2020","Mon Jun 29 15:23:24 PDT 2020","8501","","","","","","Partner Login",""
"passed","Mon Jun 29 15:23:38 PDT 2020","Mon Jun 29 15:23:40 PDT 2020","1409","","","","","","Slack",""
"passed","Mon Jun 29 15:23:01 PDT 2020","Mon Jun 29 15:23:16 PDT 2020","15101","","","","","","Contact",""
"passed","Mon Jun 29 15:23:24 PDT 2020","Mon Jun 29 15:23:26 PDT 2020","1241","","","","","","Customer Login",""
"passed","Mon Jun 29 15:23:43 PDT 2020","Mon Jun 29 15:23:45 PDT 2020","1447","","","","","","Workday",""
"passed","Mon Jun 29 15:23:28 PDT 2020","Mon Jun 29 15:23:28 PDT 2020","848","","","","","","What is CASB",""
"passed","Mon Jun 29 15:23:34 PDT 2020","Mon Jun 29 15:23:35 PDT 2020","1086","","","","","","Box",""
